Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
341,Houston Baptist,-18.9,92.5,111.4,72.6,-0.003,-2.99,100.6,103.6,11.53,2021
342,Alcorn St.,-19.09,91.1,110.2,69.5,-0.026000000000000002,-8.11,96.1,104.2,22.33,2021
343,Incarnate Word,-19.09,93.6,112.7,64.7,-0.049,-7.08,98.2,105.3,7.53,2021
344,Texas A&M Corpus Chris,-19.44,89.4,108.8,69.6,-0.09300000000000001,-3.59,99.1,102.7,3.71,2021
345,Central Connecticut,-19.46,92.5,112.0,70.3,0.003,-6.27,99.0,105.2,7.82,2021
346,Maine,-20.0,85.9,105.9,64.5,0.027999999999999997,-0.78,100.9,101.6,6.69,2021
347,Tennessee Martin,-21.0,92.3,113.3,67.4,0.122,-2.64,101.2,103.8,-0.86,2021
348,Alabama A&M,-21.04,84.8,105.8,67.5,0.018000000000000002,-11.82,93.6,105.4,-5.52,2021
349,Bethune Cookman,-22.53,90.1,112.7,72.3,0.0,-99.0,0.0,200.0,-99.0,2021
350,Idaho,-23.01,90.6,113.6,66.8,-0.021,0.42,102.9,102.5,15.56,2021
351,Arkansas Pine Bluff,-23.47,91.2,114.7,67.0,-0.086,-3.36,97.6,100.9,15.77,2021
352,Delaware St.,-24.53,90.9,115.4,73.3,-0.064,-3.65,98.9,102.6,2.33,2021
353,South Carolina St.,-25.23,87.2,112.4,71.6,-0.109,-4.49,98.3,102.8,2.06,2021
354,Alabama St.,-25.94,84.4,110.3,70.8,-0.049,-14.36,91.6,105.9,-99.0,2021
355,Maryland Eastern Shore,-27.6,83.9,111.5,67.8,0.0,-99.0,0.0,200.0,-99.0,2021
356,Chicago St.,-29.85,88.3,118.1,67.5,-0.006,9.06,106.6,97.6,9.06,2021
357,Mississippi Valley St.,-41.29,79.4,120.7,71.1,0.04,-3.93,97.7,101.6,16.42,2021
